0.99,0.00,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.01
0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
0.00,0.00,0.97,0.02,0.00,0.00,0.00,0.03,0.03,0.00
0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.01,0.02,0.00
0.00,0.00,0.00,0.00,0.96,0.00,0.01,0.01,0.01,0.05
0.00,0.00,0.00,0.08,0.00,0.99,0.05,0.01,0.07,0.02
0.00,0.00,0.00,0.00,0.01,0.00,0.90,0.00,0.01,0.00
0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.89,0.01,0.01
0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.83,0.00
0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.04,0.02,0.88
