mean,0.1357
mean,0.2352
mean,0.1307
mean,0.2307
mean,0.1006
mean,0.2174
mean,0.5337
mean,0.5402
mean,0.0926
mean,0.1079
mean,0.233
mean,0.2327
mean,0.2323
mean,0.2328
mean,0.5093
mean,0.5104
mean,0.2348
mean,0.2324
mean,0.4564
mean,0.4515
mean,0.2318
mean,0.2329
mean,0.4642
mean,0.4591
mean,0.5137
mean,0.5134
mean,0.5133
mean,0.5134
mean,0.4316
mean,0.41
mean,0.2268
mean,0.4833
mean,0.4348
mean,0.4073
mean,0.2262
mean,0.4807
mean,0.2853
mean,0.2823
mean,0.277
mean,0.3357
mean,0.3135
mean,0.2178
mean,0.4147
mean,0.3617
mean,0.4152
mean,0.3594
mean,0.4163
mean,0.4167
mean,0.4926
mean,0.4951
mean,0.3583
mean,0.4939
mean,0.4943
mean,0.4937
mean,0.4928
mean,0.3363
mean,0.3111
mean,0.4838
mean,0.4848
median,0.3518
median,0.4298
median,0.4179
median,0.3297
trmean,0.4453
trmean,0.3653
trmean,0.4438
trmean,0.3472
krum,0.4015
krum,0.3231
krum,0.389
krum,0.2918
mkrum3,0.4608
mkrum3,0.3604
mkrum3,0.4609
bulyan,0.3875
bulyan,0.4655
bulyan,0.3634
bulyan,0.462
mkrum,0.3857
mkrum,0.3627
bulyan2,0.2094
bulyan2,0.2031
mkrum,0.4635
mkrum,0.4706
bulyan2,0.3295
bulyan2,0.3199
mean,0.2919
mean,0.2508
mean,0.2849
mean,0.2409
mean,0.2708
mean,0.2449
mean,0.2712
mean,0.2357
mean,0.3347
mean,0.2871
mean,0.4913
mean,0.4211
mean,0.4896
mean,0.423
mean,0.4813
mean,0.3912
mean,0.4855
mean,0.3885
mean,0.3157
mean,0.4731
mean,0.4757
mean,0.3717
mean,0.4816
mean,0.3765
mean,0.4654
mean,0.3376
mean,0.5809
mean,0.1604
mean,0.5583
mean,0.2629
mean,0.5819
mean,0.274
median,0.5112
median,0.2777
trmean,0.5295
trmean,0.2772
krum,0.4797
krum,0.2847
mkrum,0.5557
mkrum,0.2734
bulyan,0.5641
bulyan,0.146
mean,0.4634
mean,0.3449
mean,0.4773
mean,0.3867
mean,0.4375
mean,0.2993
mean,0.4672
mean,0.3639
mean,0.4814
mean,0.4838
mean,0.4023
mean,0.403
mean,0.4891
mean,0.4165
mean,0.4907
mean,0.4179
mean,0.5808
mean,0.2798
mean,0.4927
mean,0.419
mean,0.582
mean,0.278
mean,0.4929
mean,0.4195
mean,0.5818
mean,0.2739
