0.97,0.00,0.05,0.01,0.00,0.00,0.03,0.01,0.06,0.02
0.00,0.98,0.06,0.01,0.00,0.00,0.01,0.03,0.05,0.01
0.00,0.00,0.58,0.00,0.00,0.00,0.01,0.01,0.01,0.00
0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.02,0.00
0.00,0.01,0.08,0.01,1.00,0.00,0.13,0.11,0.11,0.82
0.02,0.00,0.03,0.43,0.00,0.99,0.12,0.01,0.35,0.03
0.00,0.00,0.04,0.00,0.00,0.00,0.70,0.00,0.00,0.00
0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.76,0.02,0.04
0.00,0.00,0.15,0.01,0.00,0.00,0.00,0.00,0.39,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08
