0.97,0.00,0.06,0.01,0.00,0.00,0.03,0.01,0.06,0.01
0.00,0.98,0.11,0.01,0.00,0.00,0.00,0.03,0.05,0.01
0.00,0.00,0.46,0.00,0.00,0.00,0.01,0.01,0.00,0.00
0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.01,0.00
0.00,0.01,0.10,0.01,1.00,0.00,0.13,0.13,0.10,0.84
0.03,0.01,0.06,0.78,0.00,1.00,0.20,0.01,0.47,0.04
0.00,0.00,0.04,0.00,0.00,0.00,0.62,0.00,0.00,0.00
0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.73,0.02,0.03
0.00,0.00,0.15,0.01,0.00,0.00,0.00,0.00,0.29,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.06
