0.94,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.02,0.02
0.00,0.97,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01
0.01,0.00,0.77,0.00,0.02,0.00,0.01,0.03,0.05,0.02
0.00,0.01,0.00,0.94,0.02,0.19,0.00,0.01,0.08,0.03
0.00,0.00,0.01,0.00,0.77,0.00,0.00,0.00,0.00,0.03
0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00
0.04,0.00,0.04,0.01,0.04,0.09,0.96,0.00,0.03,0.00
0.00,0.00,0.01,0.02,0.01,0.02,0.00,0.85,0.05,0.13
0.01,0.01,0.15,0.02,0.00,0.07,0.01,0.00,0.75,0.00
0.00,0.00,0.00,0.00,0.14,0.01,0.00,0.09,0.00,0.76
