0.98,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.02,0.00
0.00,0.98,0.03,0.00,0.00,0.00,0.01,0.02,0.02,0.00
0.00,0.00,0.87,0.00,0.00,0.00,0.00,0.04,0.02,0.00
0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.01,0.03,0.00
0.01,0.01,0.06,0.00,1.00,0.00,0.09,0.14,0.11,0.88
0.01,0.00,0.01,0.21,0.00,1.00,0.09,0.01,0.31,0.05
0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.02
0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.48,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
